symbol,group,playbook,year,score,regime_score,setup_score,trigger_score,rr,rsi,adx,rs20,extension_pct,vol_ratio,pullback_atr,trend_quality,confluence_count,vix_proxy,mfe_pct,mae_pct,status,target_binary
PG,Consumer,pullback,2025,10.6500,4.2000,4.5000,1.9500,1.1500,57.8500,21.5400,5.6800,3.4100,1.2200,0.9800,0.5500,2,18.9800,5.5412,-1.6242,expired,0
PG,Consumer,breakout,2025,10.0400,4.3900,2.5500,3.6000,2.0600,65.4800,20.8300,8.7800,6.2100,1.0400,1.9400,0.6400,3,22.7800,2.5058,-4.4536,hit_stop,0
PG,Consumer,breakout,2025,8.7900,3.6400,2.0500,3.1000,2.2100,64.7600,19.9200,0.6600,3.2300,1.7500,1.8400,0.6500,3,18.5700,0.0000,-4.3440,hit_stop,0
PG,Consumer,breakout,2026,6.8700,1.8200,2.1500,2.9000,2.8200,65.9200,18.6000,5.4300,-0.3400,1.3500,2.5400,0.7100,3,16.0900,6.6600,-2.2378,hit_target,1
PG,Consumer,breakout,2026,8.1900,2.7400,2.5500,2.9000,3.1800,65.6800,21.5200,5.1800,0.7800,1.0500,2.3200,0.6700,3,17.4400,7.4916,-0.3426,hit_target,1
PG,Consumer,breakout,2026,7.9700,3.8700,2.0000,2.1000,3.3600,74.7700,34.5600,12.2500,6.6000,1.1300,2.8100,0.7600,2,20.8200,0.8436,-3.3745,hit_stop,0
PG,Consumer,breakout,2026,8.6900,3.7900,2.0000,2.9000,2.6900,72.7600,35.0500,11.0000,8.8400,1.2500,2.8100,0.7200,3,21.0100,1.2593,-3.9656,hit_stop,0
COST,Consumer,breakout,2023,7.9400,4.5400,1.0000,2.4000,2.2800,70.2100,22.0600,-0.4500,7.9000,1.3500,2.2800,0.7200,3,13.5900,1.4247,-2.5539,hit_stop,0
COST,Consumer,breakout,2023,8.9000,4.5000,1.5000,2.9000,2.0300,67.7600,26.3700,0.5500,8.8700,1.0800,2.1800,0.7000,3,13.3400,4.4741,-0.1097,hit_target,1
COST,Consumer,breakout,2023,7.4700,4.5200,0.0500,2.9000,2.8400,72.0000,19.1000,-0.4800,11.7300,1.2200,3.0300,0.7100,3,14.1800,0.0000,-4.1121,hit_stop,0
COST,Consumer,breakout,2023,10.0100,4.3100,2.5500,3.1500,2.6200,65.1800,18.5400,1.7500,10.8700,1.0100,1.7300,0.6000,2,13.0800,7.2645,-0.3422,hit_target,1
COST,Consumer,breakout,2024,7.4700,4.5700,1.5000,1.4000,3.3500,70.4700,44.0200,5.0800,23.2400,1.0000,2.4700,0.7400,0,13.8800,5.3983,-0.3151,expired,0
COST,Consumer,breakout,2024,8.4200,4.5700,1.5000,2.3500,2.7700,71.3000,45.7300,2.1900,23.3400,1.2300,1.7400,0.7400,1,15.4200,6.0053,-0.7469,hit_target,1
COST,Consumer,breakout,2024,8.5300,4.5800,1.0500,2.9000,2.2200,74.5600,18.1000,7.9300,19.2300,1.1300,3.1300,0.7400,3,13.2300,5.9068,-1.1150,hit_target,1
COST,Consumer,breakout,2024,7.3100,4.6100,1.5500,1.1500,3.5500,70.5300,29.6800,4.3800,20.2400,1.0000,2.7200,0.7500,1,12.4500,7.8840,0.0000,expired,0
COST,Consumer,breakout,2024,7.7000,4.7200,1.5300,1.4500,3.7300,73.3100,42.1200,6.8800,21.8900,1.0000,2.6600,0.8100,1,11.9300,1.2066,-2.6589,hit_stop,0
COST,Consumer,breakout,2024,7.8000,4.4900,1.5100,1.8000,2.9600,73.3200,44.0200,7.0900,22.9300,0.9600,2.4200,0.6900,1,13.1600,5.6285,-0.6901,expired,0
COST,Consumer,breakout,2024,7.9100,4.4800,1.4300,2.0000,1.5000,73.7900,33.3300,2.0900,25.2000,1.4800,2.6600,0.6900,2,12.4800,1.2420,-4.4204,hit_stop,0
COST,Consumer,breakout,2024,9.4000,4.4000,2.5500,2.4500,2.1400,64.5800,23.7100,4.6000,18.5300,0.9800,1.9200,0.6500,2,15.2300,4.7393,-0.9950,expired,0
COST,Consumer,breakout,2024,8.2500,4.5000,2.0000,1.7500,3.2600,67.5000,28.4500,6.4900,19.0700,0.9600,2.0700,0.7000,2,16.1500,2.9602,-2.6678,hit_stop,0
COST,Consumer,breakout,2024,10.5300,4.3800,2.5500,3.6000,1.6600,65.1500,29.7200,3.2400,19.4900,1.1200,1.6800,0.6400,3,17.0700,0.9617,-4.4840,hit_stop,0
COST,Consumer,breakout,2024,9.5400,4.6400,2.0000,2.9000,2.7500,69.6100,28.8900,5.4700,17.6100,1.1200,2.5200,0.7700,3,15.2400,4.5892,-1.4855,expired,0
COST,Consumer,breakout,2024,7.5300,4.5300,2.0000,1.0000,3.3100,68.7000,33.1500,5.4300,17.9100,0.9900,2.1600,0.7200,0,13.3400,3.4103,-3.2769,hit_stop,0
COST,Consumer,breakout,2024,9.0300,4.6800,2.0000,2.3500,3.0300,69.3400,41.0300,4.9100,18.7100,1.0300,1.9600,0.7900,1,13.5800,1.2054,-2.9115,hit_stop,0
COST,Consumer,breakout,2025,9.4500,4.5500,2.0000,2.9000,2.3800,71.8000,25.4600,8.3100,15.6300,1.4000,2.6700,0.7300,3,18.6200,7.3165,-0.6144,hit_target,1
COST,Consumer,pullback,2025,10.4000,4.2000,4.5000,1.7000,1.1500,58.3200,28.7800,9.0200,16.7100,1.7100,0.8900,0.5500,2,19.6300,1.6584,-10.0924,hit_stop,0
COST,Consumer,breakout,2025,9.5900,4.4900,1.5000,3.6000,1.6000,66.6800,24.5600,0.2400,12.8500,1.0400,1.8800,0.7000,3,18.3600,0.9680,-4.8105,hit_stop,0
COST,Consumer,breakout,2025,10.0700,4.3200,2.1500,3.6000,2.3100,62.7300,18.6000,5.2000,4.5200,1.0500,1.5700,0.6100,3,15.6900,0.0000,-2.7198,hit_stop,0
COST,Consumer,breakout,2026,8.9900,2.3400,2.1500,3.7000,1.4300,63.6000,24.2200,1.7800,-1.0300,1.6600,2.1700,0.6700,4,15.4500,4.4029,-0.4348,hit_target,1
COST,Consumer,breakout,2026,7.5400,3.8900,2.0000,1.6500,3.5700,74.7300,33.3700,11.9800,4.0700,1.0900,2.9400,0.7700,1,20.0900,2.9805,-3.3901,hit_stop,0
COST,Consumer,breakout,2026,9.4400,3.6900,2.5500,3.2000,3.4900,64.8100,36.2900,11.5600,5.2300,1.0600,1.6200,0.6700,2,18.0000,5.1661,-1.1044,expired,0
COST,Consumer,breakout,2026,9.3300,4.4300,2.0000,2.9000,1.8700,68.3900,32.8700,8.1100,9.0300,1.0500,2.1600,0.6600,3,20.6000,0.9779,-3.3746,hit_stop,0
